,Name,Formula,AN,Donor numberDN,🏷 Tag,,
16,cyclohexanone,C6H10O,12.9,18,ketone,,
17,cyclopentanone,C5H8O,12.2,18,ketone,,
18,decanol,C10H22O,27.8,31,alcohol,,
19,dibenzyl ether,C14H14O,6.3,19,aromatic, ether,
20,dibutyl ether,C8H18O,0.1,19,ether,,
21,dibutyl sulfoxide,C8H18OS,…,31,,,
22,dichloromethane,CH2Cl2,20.4,1,halo,,
23,diethyl carbonate,C5H10O3,7.7,16,ester,,
24,diethyl dimethylamidophosphate,C6H16NO3P,…,29.5,,,
0,diethyl dimethylphosphoramidate,C6H16NO3P,…,29.5,,,
1,diethyl ether,C4H10O,3.9,19.2,ether,,
2,diethyl sulfide,C4H10S,5.2,41,,,
3,diethylamine,C4H11N,9.4,50,amine,,
4,diisopropyl ether,C6H14O,2.0,19,ether,,
5,dimethyl carbonate,C3H6O3,11.1,17.2,ester,,
6,dimethyl sulfide,C2H6S,0.0,40,,,
7,dimethyl sulfoxide,C2H6OS,19.3,29.8,,,
8,dimethylamino-di(azetidin-1-yl)phosphine oxide,C8H18N3OP,…,42.3,,,
9,dimethylcyanamide,C3H6N2,20.5,17,,,
10,dioctyl methylphosphonate,C17H37O3P,…,31.2,,,
11,dioctyl sulfoxide,C16H34OS,…,30.3,,,
12,dioxane,C4H8O2,10.3,14.3,ether,,
13,diphenylphosphinic chloride,C12H10ClOP,…,22.4,,,
14,diphenylphosphonic chloride,,…,22.4,,,
15,dipropyl ether,C6H14O,2.0,18,ether,,
16,ethanediol,C2H6O2,44.1,20,alcohol,,
17,ethanol,C2H6O,37.9,19.2,alcohol,,
18,ethoxybenzene,C8H10O,6.9,8,aromatic, ether,
19,"ethyl 2,2-dimethylpropanoate",C7H14O2,…,13,ester,,
20,ethyl 2-methylpropanoate,C6H12O2,…,16.4,ester,,
21,ethyl acetate,C4H8O2,9.3,17.1,ester,,
22,ethyl benzoate,C9H10O2,9.7,15,aromatic, ester,
23,ethyl butanoate,C6H12O2,…,16.8,ester,,
24,ethyl chloroacetate,C4H7ClO2,12.2,13,halo, ester,
0,ethyl chloroformate,C3H5ClO2,…,21.3,halo, ester,
1,ethyl dichloroacetate,C4H6Cl2O2,…,9.4,ester, halo,
2,ethyl formate,C3H6O2,15.0,17,ester,,
3,ethyl propanoate,C5H10O2,…,17.1,ester,,
4,ethyl trichloroacetate,C4H5Cl3O2,10.9,3.1,halo, ester,
5,ethylamine,C2H7N,…,55,amine,,
6,ethylamino-dipyrrolidinophosphine oxide,C10H22N3OP,…,42.6,,,
7,ethylbenzene,C8H10,…,6,aromatic,,
8,fluorobenzene,C6H5F,7.7,3,aromatic, halo, fluoro
9,formamide,CH3NO,39.8,24,amide,,
10,formic acid,CH2O2,83.6,19,carboxylic_acid,,
11,furan,C4H4O,5.8,6,heteroaromatic,,
12,heptane,C7H16,0,0,alkane,,
13,hexaethylphosphoramide,C12H30N3OP,…,36.6,,,
14,hexamethylphosphoramide,C6H18N3OP,10.6,38.8,,,
15,hexane,C6H14,0,0,alkane,,
16,hexanol,C6H14O,29.9,30,alcohol,,
17,hydrazine,H4N2,…,44,,,
18,iodobenzene,C6H5I,6.2,4,aromatic, halo,
19,"isopropyl 2,2-dimethylpropanoate",C8H16O2,…,13.5,ester,,
20,isopropyl acetate,C5H10O2,…,17.5,ester,,
21,isopropyl pivalate,C8H16O2,…,13.5,,,
22,methanesulfonic acid,CH4O3S,126.3,…,,,
23,methanol,CH4O,41.5,19,alcohol,,
24,methoxybenzene,C7H8O,7.8,9,aromatic, ether,
0,"methyl 2,2-dimethylpropanoate",C6H12O2,…,12.8,ester,,
1,methyl acetate,C3H6O2,10.7,16.5,ester,,
2,methyl benzoate,C8H8O2,9.7,15,aromatic, ester,
3,methyl propanoate,C4H8O2,9.5,11,ester,,
4,methyl propyl ether,C4H10O,…,18.1,ether,,
5,methyl trifluoroacetate,C3H3F3O2,…,2.7,ester, halo,
6,morpholine,C4H9NO,17.5,…,ether, amine,
7,"N,N,1,3-tetramethyl-1,3,2-diazaphospholidin-2-amine 2-oxide",C6H16N3OP,…,42.1,,,
8,"N,N,N',N'-tetramethylurea",C5H12N2O,9.2,31,amide,,
9,"N,N-diethylacetamide",C6H13NO,13.6,32.2,amide,,
10,"N,N-diethylformamide",C5H11NO,16.7,30.9,amide,,
11,"N,N-dimethylacetamide",C4H9NO,13.6,27.8,amide,,
12,"N,N-dimethylaniline",C8H11N,6.7,27,amine, aromatic,
13,"N,N-dimethylbenzylamine",C9H13N,…,21,amine, aromatic,
14,"N,N-dimethylcarbamoyl chloride",C3H6ClNO,…,17.2,,,
15,"N,N-dimethylformamide",C3H7NO,16,26.6,amide,,
16,"N,N-dimethylthioformamide",C3H7NS,18.8,…,,,
17,"N,N-dimethyltrifluoroacetamide",C4H6F3NO,…,16.6,,,
18,"N,N-dimethylurethane",C5H11NO2,…,22.4,amide, ester,
19,"N,N-dioctyloctan-1-amine oxide",C24H51NO,…,52.3,,,
20,N-(azetidin-1-yl-dimethylaminophosphoryl)-N-methylmethanamine,C7H18N3OP,…,41.1,,,
21,N-(aziridin-1-yl-dimethylaminophosphoryl)-N-methylmethanamine,C6H16N3OP,…,48.6,,,
22,N-(dimethylamino-ethoxyphosphoryl)-N-methylmethanamine,C6H17N2O2P,…,36.4,,,
23,N-(dimethylamino-pyrrolidin-1-ylphosphoryl)-N-methylmethanamine,C8H20N3OP,…,38,,,
24,N-bis(dimethylamino)phosphoryl-N-ethylethanamine,C8H22N3OP,…,37.8,,,
0,N-bis(ethylamino)phosphorylethanamine,C6H18N3OP,…,47.3,,,
1,N-dipyrrolidin-1-ylphosphoryl-N-methylmethanamine,C10H22N3OP,…,45.4,,,
2,N-methylaniline,C7H9N,18.0,33,amine, aromatic,
3,N-methylformamide,C2H5NO,32.1,27,amide,,
4,N-methylpyrrolidone,C5H9NO,13.3,27.3,amide,,
5,N-[bis(aziridin-1-yl)phosphoryl]-N-methylmethanamine,C6H14N3OP,…,49.1,,,
6,nitrobenzene,C6H5NO2,14.8,4.4,nitro, aromatic,
7,nitroethane,C2H5NO2,20.1,5,nitro,,
8,nitromethane,CH3NO2,20.5,2.7,nitro,,
9,octanol,C8H18O,29.0,32,alcohol,,
10,oxane,C5H10O,6.9,22,ether,,
11,oxolan-2-one,C4H6O2,17.3,18,ester,,
12,pentanol,C5H12O,30.5,25,alcohol,,
13,phenol,C6H6O,38.6,11,,,
14,phenylphosphonic dichloride,C6H5Cl2OP,…,18.5,,,
15,phenylphosphonic difluoride,C6H5F2OP,…,16.4,,,
16,phosphorus oxychloride,Cl3OP,…,11.7,,,
17,piperidine,C5H11N,4.8,40,amine,,
18,propanenitrile,C3H5N,20.1,16.1,nitrile,,
19,propanol,C3H8O,37.3,19.8,alcohol,,
20,propanoyl chloride,C3H5ClO,…,3.2,,,
21,propyl acetate,C5H10O2,8.6,16,ester,,
22,pyridine,C5H5N,14.2,33.1,heteroaromatic,,
23,pyridine N-oxide,C5H5NO,…,34.4,heteroaromatic,,
24,pyridinium dichromate,C10H12Cr2N2O7,18.3,…,,,
